Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,スーパー（店長）,販売量の動き,・年末の正月用商材の動きが少し良くなり、販売量も前年比96％とわずかだが上向きになってきた。
,,○,スーパー（役員）,お客様の様子,・クリスマス、年末など、派手なイベントにお金をかける傾向が感じられるようになってきた。
,,○,コンビニ（エリア担当）,来客数の動き,・年末に向けて工事現場作業者の来店が増加している。
,,○,衣料品専門店（店員）,お客様の様子,・今年は雪が早く降ったことで、年末商戦が良かった。前半は総選挙の影響であまり良くなかったが、後半は客の消費動向が単価の高い商材を中心に動いた。
,,○,家電量販店（経営者）,販売量の動き,・地上デジタル放送関連のテレビ需要が落ち着いたことによる反動はまだあるものの、ＬＥＤ照明、電球、冷蔵庫等の省エネ関連商品の需要が旺盛で、単価は低いが売上に貢献している。
,,○,家電量販店（地区統括部長）,販売量の動き,・地上デジタル放送への完全移行後、低迷が続いていたテレビの販売が、約１年半ぶりに前年を上回るようになり、全体としては微増ながらも回復してきた。
,,○,一般レストラン（スタッフ）,販売量の動き,・来客数は前年並みだが客単価が前年比106％と高くなっている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・週末ごとに需要を喚起する大型のイベント、大会が開催され、来客数、客単価を押し上げる結果となった。
,,○,タクシー運転手,来客数の動き,・季節要因も含まれるが、今月に入って全体的な受注の状況がやや上向き傾向となっている。ただし、まだ予断の許せるような状況ではない。
,,○,美容室（経営者）,来客数の動き,・売上が前年比で３％以上の増加となっており、今後も売上の増加を期待できる雰囲気がある。
,,○,住宅販売会社（経営者）,お客様の様子,・消費税増税法案成立の影響があり、駆け込み需要が徐々に生じてきている。
,,○,住宅販売会社（従業員）,お客様の様子,・販売事務所に来るほとんどの客が分譲マンションの購入に対して積極的であり、見学のみの客は少ない。来訪前に購入する意思を固めている客も多く、営業に要する時間が少ない。
,,□,商店街（代表者）,お客様の様子,・12月は防寒衣料のピークの月だが、例年より寒いこともあり、フリー客、一見客がダウンコート等を買う様子がみられる。一方、顧客やＯＬは買い控えをしており、単価の高い商材もあまり売れていない。
,,□,商店街（代表者）,お客様の様子,・総選挙により政権が変わったが、まだ実際の客の気持ちとしては、景気が良くなっているのか、悪くなっているのか判断できないようである。
,,□,商店街（代表者）,来客数の動き,・今月に入り、強い寒波と積雪の影響で客足は鈍かったが、下旬以降は、年末大売出しの抽選期限等もあり、来街者数が増加した。しかし、来街時間帯は昼前後から夕刻までの短い時間であるため、目的を定めて来ていると判断され、ついで買い及び衝動買いは少ない。
,,□,商店街（代表者）,お客様の様子,・観光土産店だが、観光客は全く入っていない。公務員関係の客も動いていない。ただ、総選挙で自民党が勝ったことで、建築関係の客が少しお金を使い出している。
,,□,一般小売店［土産］（経営者）,販売量の動き,・総選挙が終わったばかりで今後への期待感が出ているが、それが消費には全く結びついていない。むしろ、中小企業金融円滑化法の期限が切れることに対して相当不安が出ている。
,,□,百貨店（売場主任）,単価の動き,・売上の減少幅は小さいものの、前年割れの状況が続いている。客単価は前月に引き続き前年を上回っているものの、買上客数の減少が続いている。
,,□,百貨店（販売促進担当）,販売量の動き,・来客数は微増で推移しているものの、買上客数は微減にとどまっている。また、客単価も低下傾向にあるため、来客数の伸びほど、売上が伸びない状態が続いている。
,,□,百貨店（役員）,お客様の様子,・今月は大寒波の到来で、コート関連がよく売れたほか、暖房用品も好調であり、どの部門も前年比で２けたアップの勢いである。胆振地区での大規模停電の影響もあり、ホームセンターでは乾電池や懐中電灯、ポータブルストーブ等が異常なほど、売上を上げている。
,,□,スーパー（店長）,販売量の動き,・来客数は伸びているが、買上点数の伸びない状況が続いている。そのため、なかなか売上も上がらない。
,,□,スーパー（役員）,来客数の動き,・12月の売上は前年比100.1％、商品単価は前年比97.5％となり、11月と比べて12月はやや改善している。しかし、クリスマス催事の好調が数値を押し上げている状況であり、平常日の状況は決して良くない。
,,□,コンビニ（エリア担当）,販売量の動き,・催事商材が前年を上回っているなど、売上は回復傾向にあるものの、依然として買上点数の減少が続いている。特に、たばこの減少が響いている。
,,□,コンビニ（エリア担当）,販売量の動き,・年末の需要商材の販売量が減少した。生活必需品ではないため、余剰に使う金が客にないとみられる。
,,□,コンビニ（エリア担当）,お客様の様子,・クリスマス商材の販売動向が前年と比較して鈍い。特に、店頭販売品の動きが鈍く、当日に購入する客が減少している。
,,□,家電量販店（店員）,来客数の動き,・12月後半の大雪にともない寒さも増しており、暖房関連がよく売れた。来客数も伸びており、店に活気が戻っている。
,,□,自動車備品販売店（店長）,来客数の動き,・タイヤ交換の期間であるが、来客数及び客単価の前年比はここ３か月変わらない。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・悪天候が重なり、大幅に来客数が減少している。客単価こそ上昇しているが、全体の売上は前年比で５％のダウンとなった。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・販売量が比較的安定して推移している。
,,□,高級レストラン（経営者）,来客数の動き,・年末にもかかわらず、買物をしている客が少ない。
,,□,高級レストラン（スタッフ）,来客数の動き,・毎年のことであるが、平日は天候に左右されるため、来客数はその日によって極端である。一方、クリスマスディナーは例年以上に良かった。全体では前年並みの売上であった。
,,□,旅行代理店（従業員）,お客様の様子,・12月単月の売上は前年比107％でやや良いが、内訳をみると、個人客の動きが良くない。３か月前から、全体的な動きは変わらない。
,,□,旅行代理店（従業員）,販売量の動き,・当地区の空港からの出発客は前年割れの傾向が継続しており、現時点では客の消費マインドは回復していないとみられる。ただし、札幌と当地区を結ぶ路線については、地元コミューター航空会社の撤退もあり、自社単独では伸長している。
,,□,タクシー運転手,来客数の動き,・12月は雪が多く、除雪が間に合わず、年末の繁忙期に市内の道路の渋滞がひどかった。このため、タクシーの注文があっても、断ることが多く、売上は前年よりも減収となった。人出は多かったが、タクシーの売上には天候が災いした。
,,□,タクシー運転手,販売量の動き,・今月は、クリスマスファンタジー等のイベントがあり、また半ばから寒い日が続き、雪も多くなったことから、売上も徐々に伸びてきてはいる。ただし、３か月前と比較すると、約2.5％の減少であったため、全体としては変わらない。
,,□,タクシー運転手,来客数の動き,・注文数が前年並みであった。観光客からのオーダーは減少したものの、前年は少なかったイベント関係からのオーダーがみられた。
,,□,観光名所（従業員）,来客数の動き,・12月の乗降客数は、24日現在で前年比101.5％となっている。一方、東日本大震災前の2010年との比較では、前々年比99.8％となっており、利用客は例年並みとなっている。
,,□,パチンコ店（役員）,お客様の様子,・北海道は例年にない寒波による大雪で、客の外出の機会が少なくなっている。観光客も同様であり、ホワイトイルミネーションやミュンヘン・クリスマス市などのイベントも来場者数が少ない。
,,□,住宅販売会社（従業員）,来客数の動き,・変わった動きがみられない。
,,▲,商店街（代表者）,お客様の様子,・クリスマス商戦が盛り上がらなかった。例年は月半ばの土日に山があるが、今年は総選挙のせいか、厳しい状況であった。客単価も低く、ギフトの数も前年より減った。
,,▲,商店街（代表者）,お客様の様子,・総選挙の影響で歳末商戦の出足は全滅のような状況であった。総選挙後も大雪などの影響で来客数が減少した。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・年末という特殊な月であり、本来であれば売上の多い月であるが、得意先の飲食店もなかなか景気が戻ってこないという雰囲気であり、例年よりも忘年会等の宴会も少なく、それにともない当社の売上も前年を大きく下回った。
,,▲,百貨店（売場主任）,来客数の動き,・今月は週末ごとに大雪が降ったことにより、来客数が減少したため、売上が減少した。また、総選挙の影響により、ギフト関連の需要が中盤戦から後半にかけて伸び悩んだ。
