Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,－,－,－,
,,○,商店街（代表者）,単価の動き,・秋が始まった当初から、ツイード等の素材感の厚い冬素材のものにトレンドが出ており、その動きにより、単価が例年の秋物より多少上がっている。,
,,○,商店街（代表者）,来客数の動き,・今年は天候に恵まれ、気温も高く人の動きが非常に良い。,
,,○,スーパー（店長）,販売量の動き,・前月はお盆セールがあったこともあり、今月の販売量は前月の94％と落ち込んだが、前年比をみると、売上が102％を達成しそうな状況である。,
,,○,その他専門店［造花］（店長）,販売量の動き,・クリスマス商材などの時期物を取り扱っているため、販売量が増加している。販売量は、前年の同時期よりも上回っている。,
,,○,設計事務所（所長）,それ以外,・建物の新築情報が若干増え、設計受注量にも反映している。また、建物新築に先立つ土地の売買情報も若干増えている。,
,,□,商店街（代表者）,来客数の動き,・９月に入っても暑さは残り、秋物衣料の動きが鈍化し、前年割れの状態となっている。また、観光については観光客は格安パックで訪れており、夜の飲食店利用の客単価も落ちている。,
,,□,商店街（代表者）,来客数の動き,・休日の中心街への来客が特に少なく、販売量が伸びない。,
,,□,商店街（代表者）,お客様の様子,・秋物のシーズンに入ってきたが、天候の影響もあり、依然として消費者は慎重な動きである。,
,,□,一般小売店［土産］（店員）,それ以外,・９月の空港での売上はほぼ前年並みだが、一前年からは10％以上減少している。空港の乗降客数も前年と同じくらいの乗降客数はあるが、良かった頃と比べると団体客数は減少しており、引き続き厳しい状況にある。,
,,□,百貨店（売場主任）,お客様の様子,・秋物の立ち上がる月だが、動きは依然として鈍い。残暑が厳しいことも要因として挙げられるが、「騒々しさ」が感じられない。来客数も低調に推移している。,
,,□,百貨店（売場主任）,販売量の動き,・上旬の残暑対策、中旬の台風の影響に加えて、下旬の天候不順もあり、今月は秋物の低迷が続いている。,
,,□,百貨店（担当者）,単価の動き,・特定の顧客を対象にした催事では、単価が前年をやや上回るなど、高額商品の売行きに明るさがみられるが、店頭では依然として客単価、来客数ともに伸びがみられない。,
,,□,スーパー（店長）,販売量の動き,・例年、秋物の割引等を実施して売上を作っており、今年も同じ企画を実施したが、客の反応が悪く、衣料品を中心に売上の苦戦が続いている。,
,,□,スーパー（店長）,単価の動き,・客の流れはあるが、相変わらず単価が低く、全体としては変わらない。,
,,□,コンビニ（エリア担当）,来客数の動き,・７～８月は猛暑の影響で売上、客数とも良かったが、夏が終わり、春先と同じような客数に戻っている。,
,,□,コンビニ（エリア担当）,来客数の動き,・夏場を除くと、来客の動きはほぼ横ばいの状況である。買上点数自体は増加傾向だが、単価の低い商品が中心になっている。,
,,□,コンビニ（店長）,来客数の動き,・台風や雨続きといった天候の不順により、店舗前の歩行者数に非常に波がある。街の中心部に立地していることもあり、アーケード街や地下街がすぐ近くにあるため、雨の日などは客足が減る傾向にある。好天が続けばもう少し客数が増えたとも思う。,
,,□,家電量販店（店員）,お客様の様子,・９月の売上は前年を上回るなど、引き続き好調である。客も、店をよく回ることが増えている。,
,,□,乗用車販売店（役員）,販売量の動き,・高額商品の伸びが鈍く、低価格車に売上を頼っている状況である。,
,,□,高級レストラン（スタッフ）,お客様の様子,・ランチ・ディナーとも前年を上回るなど引き続き好調である。特に個室は、昼食時の企業の会合などが増え、前年を大きく超えた。昼夜を問わず、レストランでは、企業の小グループ客が見受けられるようになってきた。,
,,□,一般レストラン（スタッフ）,単価の動き,・前月に引き続き客数は堅調に推移しているが、客単価の低下による影響が大きい。前年と比較しても、客数は３％近く増えているが、単価が３％減少しており、結果として、売上は若干の減少となっている。,
,,□,スナック（経営者）,来客数の動き,・常連客の来店回数が少なくなっている。,
,,□,観光型ホテル（経営者）,販売量の動き,・道外観光客の入込が停滞している。また、消費単価も宿泊料、付帯収入ともに伸び悩みが続き、苦戦を強いられている。はっきりした要因がつかめず、手の打ちようがない状況である。,
,,□,観光型ホテル（経営者）,来客数の動き,・来客数は前年とほとんど変わっていない。夏場は参議院選挙や台風があったり、又は航空機の便数が減ったりと、需要・供給両面でマイナスが続いていたが、９月は影響が出てなく、正常に戻った感じがする。,
,,□,観光型ホテル（スタッフ）,販売量の動き,・総消費単価は若干ながら上向いているものの、宿泊客数が伸び悩んでいる。７～８月ほどではないにしても、苦しい状況に変わりがない。,
,,□,旅行代理店（従業員）,販売量の動き,・今年に入り、ＳＡＲＳや戦争が一段落しているが、02年度と比較すると、各月とも前々年割れが続いている。,
,,□,旅行代理店（従業員）,販売量の動き,・オリンピックの反動もあってか、秋の旅行シーズンになり来店数は増加してきたが、販売量をみると、前年より若干上回っている程度であり、８月のマイナスをカバーするまでには到っていない。,
,,□,タクシー運転手,お客様の様子,・実車率、前年比とも３か月前とほとんど変わらない。,
,,□,観光名所（職員）,単価の動き,・客の購買意欲は依然として低い。,
,,□,観光名所（役員）,来客数の動き,・９月の輸送人員は７％程度落ち込む見込みであるが、10月は回復見込みであり、全体としては変わらない。,
,,□,美容室（経営者）,来客数の動き,・新規メニューに対しての客の反応が鈍いように感じられる。,
,,□,住宅販売会社（従業員）,来客数の動き,・モデルハウスの来場者が、相変わらず少ないまま推移している。,
,,▲,コンビニ（エリア担当）,競争相手の様子,・気温が高いために、コンビニの売上は上がっているが、日常の生活必需品となるスーパーの基礎商材の売上が下がっている。,
,,▲,家電量販店（地区統括部長）,販売量の動き,・８月は猛暑、オリンピック需要により売上増となったが、９月に入ると台風上陸による被害もあり、消費が冷え込んできた。商品的にはＡＶ機器は堅調だが、ＯＡ商品が相変わらず厳しい。,
,,▲,乗用車販売店（従業員）,来客数の動き,・新規来場者数が、前年より４割ほど少なくなり、かなり厳しい状態になった。,
,,▲,その他専門店［医薬品］（経営者）,来客数の動き,・例年、９月は業界的に季節販売品に乏しいが、今年は例年以下の客数で推移した。台風などの不可抗力要素も響いた。,
,,▲,その他専門店［ガソリンスタンド］（経営者）,お客様の様子,・石油製品価格の高騰により、買い控えがみられる。,
,,▲,スナック（経営者）,来客数の動き,・９月は地元活性化のために、色々なイベント・お祭りがあり、人の動きはかなりあったが、若者や家族連れなど、直接、営業につながる人が少なかった。ただ、繁華街に人が集まるということは、にぎやかで良いことだ。,
,,▲,タクシー運転手,来客数の動き,・観光客の入込もパッとしないことに加えて、市内の需要も段々と下がってきている状態である。,
,,▲,パチンコ店（店員）,お客様の様子,・店舗内商店街の夜の人通りが少なくなってきている。,
,,×,一般小売店［酒］（経営者）,販売量の動き,・例年９月は売上が良くない上に、台風の被害が相当あり、足を引っ張っている状態である。,
,,×,スーパー（店長）,来客数の動き,・７～８月と客数が前年を上回ったが、９月は前年比95％と悪化している。台風の被害や気温が高いことの影響、また社内におけるプロモーションの違いが要因として挙げられる。９月単月の一過性の要因であれば良いが、懸念材料である。,
,,×,衣料品専門店（店長）,来客数の動き,・台風の影響もあり、客足の出が非常に悪くなっている。,
,,×,スナック（経営者）,来客数の動き,・夏が過ぎて観楓会等があると思ったが、思ったよりも少なく、来客数は前年を割っている状況である。,
,,×,住宅販売会社（従業員）,販売量の動き,・客の動向が悪く、販売量が低下している。加えて単価の低下もみられる。,
"企業
動向
関連

(北海道)",,◎,家具製造業（経営者）,受注量や販売量の動き,・個人需要、法人需要ともに伸びている。,
,,○,輸送業（支店長）,取引先の様子,・本州の好調な景気に引っ張られ、前月同様に、鋼材・建材・木材等の荷動きは堅調である。ただし、原油価格の高騰が、ここにきてフェリー運賃の値上げという形で表れ、道内の荷主及び運送業者には、この運賃値上対応力がないため、業績の悪化、又は荷動きの減少という状況になるのではないかと懸念される。,
