Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,通信会社（企画担当）,お客様の様子,・前月と同様に、設備投資をして売上につなげようという気運が感じられるようになった。
,,○,一般小売店［土産］（店員）,単価の動き,・２か月ほど前から買上単価及び買上点数が増えてきている。以前は100円、200円といった価格の商品がよく売れたが、今は300円、400円、500円といった価格の商品が売れ、底上げにつながってきている。
,,○,スーパー（店長）,来客数の動き,・北海道の既存店における客数は前年比101.2％と前月から1.1％の増加となっている。前年の３月は衣料品の売上が前年比80％台と不振であったが、今年の売上は前年比113％と伸長している。婦人服、紳士服、服飾雑貨、子供服、インナーウェアと全品目が前年実績を上回っている。その他の部門については、住居用品が前年比102％、食品が前年比100％、テナント入居している専門店が前年比96％となっており、北海道全体では前年比101％となっている。全国ベースの前年比103％からはやや遅れているものの、前年実績を確実に上回っている。
,,○,スーパー（店長）,販売量の動き,・悪天候で売上を落としている面もあるが、販売量をみる限り増えてきている傾向にある。
,,○,コンビニ（エリア担当）,販売量の動き,・依然として低単価商品中心の動きではあるが、販売量が増えている。特に100円以下の商品で、複数個購入する傾向が以前より強くなっている。
,,○,家電量販店（地区統括部長）,お客様の様子,・北海道においては地上デジタル放送開始前の需要が高まっている。
,,○,乗用車販売店（営業担当）,販売量の動き,・販売目標及び前年実績をクリアすることができるようになってきた。
,,○,高級レストラン（スタッフ）,単価の動き,・客数は前年と比較して減少しているが、客単価の上昇がみられた。単価アップの対策を講じた結果でもあるが、利用客も単価に付いてきたという点が大きい。
,,○,高級レストラン（スタッフ）,お客様の様子,・今月は前半が悪かったが、後半から良くなった。ランチは後半から地元企業のビジネスマンの利用が増えたほか、企画商品も当たり前年を超えた。ディナーは客数が前年比94％と減少したが高額のコース料理が出たことで、客単価が前年比110％、売上が105％になった。決算が落ち着いて懐と時間に少し余裕の出てきた会社員が増えたようだ。全体でも久しぶりに前年を上回ったが、道庁関係者の客単価は２割ほどダウンしている。
,,○,観光型ホテル（経営者）,来客数の動き,・本州からの団体客がじりじりと増加傾向にある。一方で海外客、道内外の個人客は伸び悩み、全体としては微増となっている。ただし客の消費単価が伸びないので、手放しでは喜べない状況である。
,,○,観光型ホテル（スタッフ）,単価の動き,・地元客の単価に大きな変動はないが、本州客には高単価商品が売れ始めている。
,,○,旅行代理店（従業員）,来客数の動き,・来店申込者数がようやく前年実績を超えるなど、回復してきている。
,,○,観光名所（役員）,来客数の動き,・月末に向け来客数は、若干ではあるが増加傾向にある。
,,○,美容室（経営者）,来客数の動き,・来店周期が以前より短くなっており、それに伴い売上が上昇している。
,,□,商店街（代表者）,お客様の様子,・全体として大きな変化はないが、入学や卒業関連の需要については少子化の影響が現れており、学生服、ギフトなどは前年割れとなっている。
,,□,商店街（代表者）,販売量の動き,・３月は例年に比べて気温が高くて人出があり、若干ではあるが販売量が増えた。
,,□,商店街（代表者）,お客様の様子,・セールの時でも、客の慎重な買い方は依然として続いている。３月は一般家庭においても出費の多い時期であり、本当に必要なものしか買わないのが現状である。
,,□,商店街（代表者）,お客様の様子,・３月の春物商材の出足自体は好調であったが、下旬の連休明けから気温が低下したことで客の購買意欲が低下しており、売上がピークとなる時期であるのに落ち込みがみられる。
,,□,百貨店（売場主任）,お客様の様子,・前年と同じく、入学式や卒業式のシーズン対応のカラーフォーマルやスーツ、コート等の需要が上向きになっておらず、客単価がダウンしている。
,,□,百貨店（販売促進担当）,販売量の動き,・中旬までは温暖な気候が続いたことで、婦人ファッションを中心に春物プロパーが活況を呈し、前年を上回る推移を示していたが、下旬に入ってからは寒さの揺り戻しとワールド・ベースボール・クラシックの盛り上がりの影響で、自宅で過ごす人が多かったらしく、売上が一気に冷え込んだ。
,,□,スーパー（店長）,販売量の動き,・客数自体は前年比102％と増加傾向にあるが、前月まで好調に推移していた衣料品及び生活用品の売上が落ち込みはじめている。販売点数が減少し、客単価も低下している状況である。
,,□,コンビニ（エリア担当）,来客数の動き,・来客数の推移が客単価の推移を上回る傾向が続き、消費者の買い控え、安売りでの購買といった行動に大きな変化はない。
,,□,衣料品専門店（店長）,お客様の様子,・売出しを行っているが、客の出方が悪く、落ち込んだままである。
,,□,家電量販店（店員）,競争相手の様子,・安売りしている大型店には客が入っている。
,,□,高級レストラン（スタッフ）,来客数の動き,・春休みに入ったこともあり、ランチタイムは前月に引き続き、満席の状態が続いている。特に観光客が目立っており、ランチタイムの来客数は前年比で20％の増加となった。しかしディナータイムの来客数は前年比で５％の減少と苦戦している。観光地でのランチ、ディナーの食事内容が変わってきている。
,,□,スナック（経営者）,来客数の動き,・３月は歓送迎会のシーズンであり、１次会で行くような食事の店は忙しいようだが、２次会への流れはあまりなく、普段の月と変わらない状況である。
,,□,旅行代理店（従業員）,販売量の動き,・日による偏りがあり、好調な日が継続しない。全体的には状況は変わらない。
,,□,タクシー運転手,お客様の様子,・金利の上昇など、景気回復の兆しも感じられるが、タクシーに関しては、まだ必要最小限の利用にとどまっている。
,,□,設計事務所（職員）,お客様の様子,・札幌市内中心部における建設計画の引き合いは下火になっている。建築用途で活発なのは集合住宅と医療・福祉施設だが前者は構造計算書偽装事件、後者は診療報酬引下げ改定等の影響で慎重になっている傾向がうかがわれる。
,,□,住宅販売会社（従業員）,来客数の動き,・マイホームセンター、モデルハウス等の来場者が、前年末からやや増加傾向にある。
,,□,住宅販売会社（従業員）,販売量の動き,・販売量の極度な落ち込みが継続していることに加えて、販売単価を大きく削減しなければならない状況も相変わらず続いている。
,,▲,コンビニ（エリア担当）,来客数の動き,・当社の売上鈍化が判断の要因だが、競争相手の情報もかなりシビアな様子である。
,,▲,家電量販店（経営者）,販売量の動き,・１月後半から客の購買意欲が下降線をたどっており、３月に入って、その動きが更に顕著になっている。３月の売上は前年比で２割の減少となっている。
,,▲,その他専門店［医薬品］（経営者）,来客数の動き,・前年に比べて、１か月で600人近い客数の減少がみられる。ライバル店が増えたわけではなく、先行き不安に対する消費者の自衛とみられる。
,,▲,観光型ホテル（スタッフ）,販売量の動き,・本州からのツアー客、海外客ともに低調である。
,,▲,旅行代理店（従業員）,販売量の動き,・航空券の販売が激減している。航空会社の整備ミス等の問題で飛行機が懸念されている。インターネットでの販売にも影響が出ている。
,,▲,旅行代理店（従業員）,販売量の動き,・総受注額は前年比82％となっている。
,,▲,タクシー運転手,来客数の動き,・３月は年度末であり、例年、タクシーの売上が12月に次いで良い月であるが、今年はタクシーの利用が前年と比べても大きなマイナスとなっている。雪解けが早いという天候の影響もあるのかもしれないが、札幌市内のタクシー会社のほとんどが前年を大きく下回ったと聞いている。
,,×,スナック（経営者）,来客数の動き,・前年と比べても歓送迎会が少ない。３か月前と比べても段々と悪くなっている気がする。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・マンション需要の活性化にともない販売量の動きがやや良くなっている。
,,○,金属製品製造業（経営者）,受注量や販売量の動き,・前年暮れ辺りから、販売量が少しずつ上向きになってきている。道内での動きよりも本州方面での動きが活発な方向を目指している。
,,○,通信業（営業担当）,取引先の様子,・総じて需要が堅調であり、業務多忙のため新たな人材確保が必要との話を聞くことも多くなった。
,,○,通信業（営業担当）,受注量や販売量の動き,・今年度末は受注量が増えた。前年度末は例月と変わらなかったのでやや良くなってきている。
,,○,その他非製造業［機械卸売］（従業員）,受注量や販売量の動き,・新年度へ向けての期待感から若干の設備投資気運が出てきている。
,,□,輸送業（経営者）,取引先の様子,・函館の造船業界は、少しずつ受注量が増えている感じがあり、それにかかわる企業に多少潤いが出てきている。
