I．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,－,－,－,,
,,○,一般小売店［土産］（経営者）,単価の動き,・依然として、新千歳空港を利用する訪日外国人が前年から30～50％ほど伸びている。また、消費税免税制度の対象品目の拡大により、客単価が前年より上昇していることもあり、爆買いとまではいかないが、好調な売上が続いている。,,
,,○,スーパー（役員）,お客様の様子,・観光客の増加、プレミアム付商品券の発行など、様々なプラス要因の積み重ねで消費が伸びている。,,
,,○,衣料品専門店（店長）,来客数の動き,・前年と比べて、買上客数が約10％の増加となっている。特に多くのサラリーマンが休みとなる休日の売上は、毎週、良い数字となっている。,,
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・10月は客の財布のひもがやや緩いようだ。ここ数か月みられなかった良い傾向である。,,
,,○,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が前年よりも割安で安定しているため、販売量が比較的好調である。,,
,,○,観光型ホテル（スタッフ）,来客数の動き,・プロ野球クライマックスシリーズにおける地元球団の敗退により、予約客のキャンセルが相次いだものの、恒常的に堅調な中国、台湾からの外国人観光客で補填できた。休前日の国内旅行客の利用も好調である。,,
,,○,旅行代理店（従業員）,お客様の様子,・来店客が増加している。平日の来店も増えている。,,
,,○,旅行代理店（従業員）,来客数の動き,・上期は１日ごとの店頭販売額について、前年割れの日が多かったが、10月はほとんどの日が前年超えとなっている。,,
,,○,タクシー運転手,来客数の動き,・10月は天候が悪い日が多かったこともあって、タクシーの売上が前年と比べて10％増加している。運転手不足で車の稼動は落ちているが、会社の売上は前年から５％ほどプラスになっている。,,
,,○,通信会社（企画担当）,販売量の動き,・札幌などの大都市を中心にサービス解約が前年よりも減少している。また、新商材への引き合いも若年層を中心に強くなっている。,,
,,○,観光名所（従業員）,販売量の動き,・10月は点検工事の影響で主力事業が休業しているにもかかわらず、付帯事業であるレストラン、売店の売上は25日現在で前年比120％と伸びている。飲食、物販の売上が前年を上回る状況は８～９月も同様であったことから、全体としてはやや良くなっている。,,
,,○,住宅販売会社（役員）,お客様の様子,・分譲マンションのモデルルームへの来客数が若干増え始めていることに加えて、客の購買意欲も少しではあるが強くなってきている。,,
,,□,商店街（代表者）,来客数の動き,・薬局、婦人衣料品店、靴屋などに聞いても、どこも若干低めで変化なしとのことである。プレミアム付商品券も利用はほとんどみられないとのことである。,,
,,□,商店街（代表者）,お客様の様子,・客の様子をみると、冬のボーナスはあまり期待できそうになく、景気もあまり良くないという雰囲気がある。,,
,,□,商店街（代表者）,販売量の動き,・プレミアム付商品券の効果なのかまでは分からないが、10月の売上は前年をやや上回っており、比較的、安定した推移となっている。外国人観光客も、10月に入ってから再び増え始めている。ただ、外国人観光客については、それほど大きな低下幅ではないものの、客単価の低下がみられ、中国景気の影響があるとの見方も出ている。,,
,,□,一般小売店［酒］（経営者）,お客様の様子,・得意先の寿司屋では、注文も多く、客の来店も多いが、板前の手配が思うようにいかず、人手が足りないことで、なかなか売上につながらないと嘆いていた。働き手を集めることが大変な状況であることから、全体的には景気が上向いている雰囲気がある。,,
,,□,百貨店（売場主任）,お客様の様子,・来客数が前年比100％と前年並みとなっており、売上も微増している。特に外国人観光客による売上が前年比170％を超えるなど、外国人観光客の伸びに支えられている状況にある。一方、冬物アイテムの動きは気温の低下に伴い、10％以上の伸びがみられるなど、地元客への期待感も出てきている。,,
,,□,百貨店（販売促進担当）,来客数の動き,・８月まで好調であった外国人観光客による売上が、９月以降、急速に減少傾向にある。一方で冬物衣料商戦は、例年より早い冬の到来でコートや手袋、マフラーなどの防寒衣料を中心に売上が増えている。また、年末年始のおせちやクリスマスケーキの予約販売も好調に推移しており、外国人観光客の減少分をカバーしている。,,
,,□,スーパー（店長）,販売量の動き,・３か月前と比べると、販売量が８％ほど伸びているものの、景気が良くなってきたという実感はまるでない。,,
,,□,スーパー（店長）,来客数の動き,・2017年の消費税増税に伴う軽減税率導入に関するマスコミ報道、北海道の最低賃金引上げの遅れ、台風による天候不順などの影響もあり、消費者の生活防衛意識は依然として高いままである。食品部門の来客数は回復しているものの、衣料品部門と住まい用品部門の来客数はそれぞれ前年比90％、93％となっており、一向に回復してこない。,,
,,□,スーパー（企画担当）,販売量の動き,・足元の売上状況をみると、買上客数が増加傾向に転じているものの、客１人当たりの買上点数は伸び悩みが続いている。商品単価上昇の影響から、客の消費行動の慎重さが目立っている。,,
,,□,スーパー（役員）,お客様の様子,・相変わらず商品単価が前年から約４％上昇しているが、客単価は前年から約１％の上昇にとどまっている。客１人当たりの買上点数の向上を狙っているものの、思うように上がってこない。ただ、景気が悪いと言われるなかで、安いものばかりが売れているわけではなく、良質の商材をし好する客も増えているが、客が１回の買物支出額をしっかりと管理しているようである。,,
,,□,コンビニ（エリア担当）,来客数の動き,・前年比でみると、売上よりも来客数の減少幅が大きくなっている。客の来店頻度が下がり、必要な時に必要な物だけ購入している様子がうかがえる。,,
,,□,衣料品専門店（経営者）,来客数の動き,・10月は爆弾低気圧などによる荒天が３回もあり、学校の休校、鉄道や航空機などの交通機関の運休などにより、街ゆく客の姿も少なく、当店の売上も前年と比べて減少した。漁業定置網や農家にも大きな被害が出た影響のせいか、市内のホテルで開催した展示催事への来客数も今一つであった。,,
,,□,衣料品専門店（店員）,来客数の動き,・テナント入居している施設への来客自体が少なく、当店の来客数も減っている。,,
,,□,家電量販店（店員）,来客数の動き,・売上は前年と変わらなかったが、来客数がやや減少している。,,
,,□,乗用車販売店（従業員）,来客数の動き,・サービス部門の来客数は増えているが、購入見込み客の来店が少なく、まだまだ景気が上向いている雰囲気がない。,,
,,□,乗用車販売店（従業員）,販売量の動き,・３か月前と比較して、それほど増減はみられなかった。,,
,,□,乗用車販売店（従業員）,販売量の動き,・北海道という土地柄、冬に近づく、この時期は景気が冷え込む傾向にあるが、今年は例年と比べて、１～２週間ほど早い冷え込みがみられることから、車の売行きが悪かった。タイヤ交換などの売行きも例年よりも早く落ち込むことになる。,,
,,□,高級レストラン（経営者）,来客数の動き,・観光シーズンも終わり、観光客の入込が悪くなり、年末に向けての歳末商戦がどうなっていくのかが懸念される。また、客の財布のひもがなかなか固く、節約意識が高い。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・前年よりも少し売上を落としたが、ぎりぎりのところで変わらないと判断できる結果であった。以前は週末になると客のにぎわいが感じられたが、今は活気がなく、客の回転率も良くない状況である。また、最近の天候不順の影響もあり、降雨の時間帯によってはランチやディナーへの影響がみられた。取引先の農業者や漁業者には、低気圧などの被害を受けた人もいたが、あるタクシー運転手は豪雨の影響で売上が前年を上回ったとの声もあった。,,
,,□,一般レストラン（スタッフ）,それ以外,・従業員が不足しており、売上機会を逃がしている。様々な媒体を通して募集活動をしているが、一向に応募がみられない。,,
,,□,スナック（経営者）,来客数の動き,・人の動きがみられない。,,
,,□,スナック（経営者）,来客数の動き,・少し寒くなってきたことで、客の来店機会が減ってきている。,,
,,□,タクシー運転手,来客数の動き,・売上は前年とほとんど変化がなかった。観光関連の需要が若干マイナスとなったものの、イベント関連の需要は若干のプラスであった。,,
,,□,タクシー運転手,販売量の動き,・タクシーの売上がほぼ前年並みで推移している。,,
,,□,通信会社（社員）,お客様の様子,・景気の停滞感は変わっておらず、良い兆しが感じられない。客単価が下がっているなかで、別の商材を追加するなどして、客単価の上昇を狙っているものの、客が乗ってくることはなく、最低限の商材の購入で終わってしまう。これは客の体力に余裕がないためとみられる。,,
,,□,美容室（経営者）,お客様の様子,・客の来店周期が固定化しており、それに伴い売上も一定水準で安定して推移している。,,
